,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Avila-Vidal,ChdDSUhNMG9nS0VJQ0FnSURRdHNEZzdBRRAB,Marc arthur Dubos,https://www.google.com/maps/contrib/101961316283290757749/reviews?hl=en-US,3 years ago,2021-06-20 19:51:30.921446,3.0,17,Its an awesome area.
1,Parc Avila-Vidal,ChZDSUhNMG9nS0VJQ0FnSUNnX09Dc0lnEAE,Lucas,https://www.google.com/maps/contrib/110464644098689860452/reviews?hl=en-US,4 years ago,2021-06-20 19:51:30.922561,4.0,108,Great park
2,Parc Avila-Vidal,ChZDSUhNMG9nS0VJQ0FnSUNxX3R5ZkR3EAE,Georges Delisle,https://www.google.com/maps/contrib/104457141472325037869/reviews?hl=en-US,a week ago,2021-06-20 19:51:30.923662,5.0,62,"(Translated by Google) Perfect for families with young children

(Original)
Parfait pour les familles avec jeunes enfants"
3,Parc Avila-Vidal,ChdDSUhNMG9nS0VJQ0FnSURLbmVHQWhnRRAB,Sophia Rameau,https://www.google.com/maps/contrib/115341160211257649377/reviews?hl=en-US,a month ago,2021-06-20 19:51:30.924761,4.0,3,"(Translated by Google) It's a shame that there is no toilet but otherwise it's a good park

(Original)
C'est dommage qu'il n'y a pas de toilette mais sinon c'est un bon parc"
4,Parc Avila-Vidal,ChdDSUhNMG9nS0VJQ0FnSUNDdVkzTXhBRRAB,Frédéric Laflamme,https://www.google.com/maps/contrib/102994202557082270193/reviews?hl=en-US,9 months ago,2021-06-20 19:51:30.925864,3.0,1,"(Translated by Google) With a beach volleyball court in the summer and an ice rink in the winter, this would be the best park in town.

(Original)
Avec un terrain de Volley Ball de plage l'ete et une patinoire l'hiver, ce serait le meilleur parc de la ville."
5,Parc Avila-Vidal,ChZDSUhNMG9nS0VJQ0FnSUM4a0lXdEpnEAE,nabila esrhyer,https://www.google.com/maps/contrib/105729483982520920830/reviews?hl=en-US,11 months ago,2021-06-20 19:51:30.926967,1.0,3,"(Translated by Google) Park full of mosquitoes, no water jet, people walk with their dog inside and never take the time to pick up the poop that their beast leaves on the way, although there are signs indicating the ban on bringing dogs in there, delinquents deliberately come to smoke pot without worries, and others drive at high speed as if they are on a race track, frankly I do not recommend it at all!

(Original)
Parc plein de moustiques, pas de jet d'eau, les gens se promènent avec leur chien à l'intérieur et ne prennent jamais le temps de ramassé le caca que leur bête délaisse en chemin, bien qu'il ya des panneaux signalant l'interdiction de faire rentrer les chiens là dedans, des délinquants viennent délibérément fumer du pot sans soucis, et d'autres conduisent de vive allure comme s'ils sont en piste de course, franchement je ne le recommande pas du tout !"
6,Parc Avila-Vidal,ChdDSUhNMG9nS0VJQ0FnSUNnaFBIMjJBRRAB,Michel Belanger,https://www.google.com/maps/contrib/117158093671204910145/reviews?hl=en-US,2 years ago,2021-06-20 19:51:30.927907,3.0,2,"(Translated by Google) The park is fine. The only problem is that there is a lot of waste.

(Original)
Le parc est bien. Le seul problème est qu'il y a beaucoup de déchet."
7,Parc Avila-Vidal,ChdDSUhNMG9nS0VJQ0FnSURTb2VuTnhnRRAB,Sandy Mandy,https://www.google.com/maps/contrib/103411038403618914482/reviews?hl=en-US,5 months ago,2021-06-20 19:51:30.928933,4.0,0,
8,Parc Avila-Vidal,ChdDSUhNMG9nS0VJQ0FnSUNVeDl2a3RBRRAB,Annie Perreault,https://www.google.com/maps/contrib/113048397314983711085/reviews?hl=en-US,4 years ago,2021-06-20 19:51:30.929845,5.0,140,
9,Parc Avila-Vidal,ChZDSUhNMG9nS0VJQ0FnSUNxNmQtU1h3EAE,Gis George,https://www.google.com/maps/contrib/102888228780489926289/reviews?hl=en-US,a week ago,2021-06-20 19:51:30.930757,5.0,7,
10,Parc Avila-Vidal,ChZDSUhNMG9nS0VJQ0FnSUNBd0l5YlR3EAE,Vincent Lauzon,https://www.google.com/maps/contrib/115027490206636346275/reviews?hl=en-US,3 years ago,2021-06-20 19:51:30.931667,4.0,32,
11,Parc Avila-Vidal,ChZDSUhNMG9nS0VJQ0FnSURnakpLS09BEAE,youssef cher,https://www.google.com/maps/contrib/109336763565098371174/reviews?hl=en-US,2 years ago,2021-06-20 19:51:30.932682,5.0,0,
12,Parc Avila-Vidal,ChZDSUhNMG9nS0VJQ0FnSURZemVUaEVREAE,Արսեն Հոսեփյան - Առաքելյան,https://www.google.com/maps/contrib/106636465863807028747/reviews?hl=en-US,2 years ago,2021-06-20 19:51:30.933589,4.0,55,
